,date,qid,pageviews,date_object,wave
7,2024-01-01,Q76568,125,2024-01-01,
8,2024-01-02,Q76568,150,2024-01-02,
9,2024-01-03,Q76568,120,2024-01-03,
10,2024-01-04,Q76568,99,2024-01-04,
11,2024-01-05,Q76568,176,2024-01-05,
12,2024-01-06,Q76568,116,2024-01-06,
13,2024-01-07,Q76568,144,2024-01-07,
14,2024-01-02,Q231886,90,2024-01-02,
28,2024-01-01,Q206191,638,2024-01-01,
29,2024-01-02,Q206191,703,2024-01-02,
30,2024-01-03,Q206191,695,2024-01-03,
31,2024-01-04,Q206191,755,2024-01-04,
32,2024-01-05,Q206191,767,2024-01-05,
33,2024-01-06,Q206191,609,2024-01-06,
34,2024-01-07,Q206191,718,2024-01-07,
35,2024-01-02,Q3012704,91,2024-01-02,
42,2024-01-04,Q201477,93,2024-01-04,
49,2024-01-03,Q206972,110,2024-01-03,
50,2024-01-04,Q206972,122,2024-01-04,
51,2024-01-05,Q206972,112,2024-01-05,
56,2024-01-01,Q181707,90,2024-01-01,
57,2024-01-02,Q181707,117,2024-01-02,
58,2024-01-03,Q181707,110,2024-01-03,
59,2024-01-04,Q181707,98,2024-01-04,
60,2024-01-07,Q181707,101,2024-01-07,
64,2024-01-03,Q267107,229,2024-01-03,
65,2024-01-04,Q267107,136,2024-01-04,
77,2024-01-02,Q3012704,91,2024-01-02,
84,2024-01-01,Q47152,1050,2024-01-01,
85,2024-01-02,Q47152,1148,2024-01-02,
86,2024-01-03,Q47152,1194,2024-01-03,
87,2024-01-04,Q47152,1336,2024-01-04,
88,2024-01-05,Q47152,1385,2024-01-05,
89,2024-01-06,Q47152,1337,2024-01-06,
90,2024-01-07,Q47152,1252,2024-01-07,
91,2024-01-01,Q105180,344,2024-01-01,First-wave
92,2024-01-02,Q105180,421,2024-01-02,First-wave
93,2024-01-03,Q105180,4990,2024-01-03,First-wave
94,2024-01-04,Q105180,1273,2024-01-04,First-wave
95,2024-01-05,Q105180,846,2024-01-05,First-wave
96,2024-01-06,Q105180,636,2024-01-06,First-wave
97,2024-01-07,Q105180,636,2024-01-07,First-wave
98,2024-01-01,Q101638,254,2024-01-01,
99,2024-01-02,Q101638,381,2024-01-02,
100,2024-01-03,Q101638,478,2024-01-03,
101,2024-01-04,Q101638,518,2024-01-04,
102,2024-01-05,Q101638,499,2024-01-05,
103,2024-01-06,Q101638,382,2024-01-06,
104,2024-01-07,Q101638,381,2024-01-07,
105,2024-01-01,Q180989,198,2024-01-01,
106,2024-01-02,Q180989,233,2024-01-02,
107,2024-01-03,Q180989,255,2024-01-03,
108,2024-01-04,Q180989,385,2024-01-04,
109,2024-01-05,Q180989,335,2024-01-05,
110,2024-01-06,Q180989,184,2024-01-06,
111,2024-01-07,Q180989,199,2024-01-07,
114,2024-01-01,Q161167,218,2024-01-01,
115,2024-01-02,Q161167,237,2024-01-02,
116,2024-01-03,Q161167,240,2024-01-03,
117,2024-01-04,Q161167,183,2024-01-04,
118,2024-01-05,Q161167,196,2024-01-05,
119,2024-01-06,Q161167,165,2024-01-06,
120,2024-01-07,Q161167,233,2024-01-07,
122,2024-01-01,Q448169,1680,2024-01-01,
123,2024-01-02,Q448169,1752,2024-01-02,
124,2024-01-03,Q448169,1297,2024-01-03,
125,2024-01-04,Q448169,1182,2024-01-04,
126,2024-01-05,Q448169,1057,2024-01-05,
127,2024-01-06,Q448169,1061,2024-01-06,
128,2024-01-07,Q448169,1260,2024-01-07,
130,2024-01-01,Q464318,115,2024-01-01,
131,2024-01-02,Q464318,129,2024-01-02,
132,2024-01-03,Q464318,111,2024-01-03,
133,2024-01-04,Q464318,159,2024-01-04,
134,2024-01-05,Q464318,114,2024-01-05,
135,2024-01-06,Q464318,149,2024-01-06,
136,2024-01-07,Q464318,135,2024-01-07,
137,2024-01-02,Q234572,92,2024-01-02,First-wave
138,2024-01-04,Q234572,205,2024-01-04,First-wave
139,2024-01-05,Q234572,138,2024-01-05,First-wave
140,2024-01-07,Q234572,103,2024-01-07,First-wave
159,2024-01-01,Q34787,300,2024-01-01,
160,2024-01-02,Q34787,334,2024-01-02,
161,2024-01-03,Q34787,354,2024-01-03,
162,2024-01-04,Q34787,368,2024-01-04,
163,2024-01-05,Q34787,374,2024-01-05,
164,2024-01-06,Q34787,356,2024-01-06,
165,2024-01-07,Q34787,309,2024-01-07,
169,2024-01-01,Q257953,95,2024-01-01,
170,2024-01-02,Q257953,101,2024-01-02,
171,2024-01-03,Q257953,135,2024-01-03,
172,2024-01-04,Q257953,142,2024-01-04,
173,2024-01-05,Q257953,201,2024-01-05,
174,2024-01-06,Q257953,104,2024-01-06,
175,2024-01-07,Q257953,110,2024-01-07,
183,2024-01-01,Q360155,206,2024-01-01,
184,2024-01-02,Q360155,252,2024-01-02,
185,2024-01-03,Q360155,289,2024-01-03,
186,2024-01-04,Q360155,239,2024-01-04,
187,2024-01-05,Q360155,340,2024-01-05,
188,2024-01-06,Q360155,192,2024-01-06,
189,2024-01-07,Q360155,202,2024-01-07,
190,2024-01-04,Q287752,93,2024-01-04,
191,2024-01-05,Q287752,103,2024-01-05,
192,2024-01-07,Q287752,98,2024-01-07,
200,2024-01-01,Q79969,385,2024-01-01,
201,2024-01-02,Q79969,471,2024-01-02,
202,2024-01-03,Q79969,542,2024-01-03,
203,2024-01-04,Q79969,415,2024-01-04,
204,2024-01-05,Q79969,464,2024-01-05,
205,2024-01-06,Q79969,424,2024-01-06,
206,2024-01-07,Q79969,464,2024-01-07,
212,2024-01-01,Q241299,109,2024-01-01,
213,2024-01-02,Q241299,111,2024-01-02,
214,2024-01-03,Q241299,103,2024-01-03,
215,2024-01-05,Q241299,106,2024-01-05,
